"Time (ns)","RMSD (Å)"
10.64,2.02732
10.65,1.98249
10.66,1.96737
10.67,2.00777
10.68,1.99346
10.69,2.10054
10.7,2.04495
10.71,2.0729
10.72,2.06774
10.73,2.16878
10.74,2.14526
10.75,2.18725
10.76,2.18872
10.77,2.11514
10.78,2.21318
10.79,2.16552
10.8,2.16342
10.81,2.15917
10.82,2.17205
10.83,2.0879
10.84,2.19846
10.85,2.12135
10.86,2.19981
10.87,2.18609
10.88,2.21287
10.89,2.20877
10.9,2.1755
10.91,2.18005
10.92,2.16692
10.93,2.12176
10.94,2.15953
10.95,2.08448
10.96,2.12104
10.97,2.01762
10.98,2.12823
10.99,2.03459
11,2.12282
11.01,2.12901
11.02,2.09752
11.03,2.13466
11.04,2.09891
11.05,2.09483
11.06,2.00032
11.07,2.04249
11.08,2.0601
11.09,2.14029
11.1,2.11358
11.11,2.08875
11.12,2.0864
11.13,2.03959
11.14,2.10007
11.15,2.1769
11.16,2.05317
11.17,2.19798
11.18,2.19158
11.19,2.17395
11.2,2.18365
11.21,2.06755
11.22,2.21143
11.23,2.19291
11.24,2.22103
11.25,2.12763
11.26,2.2126
11.27,2.13429
11.28,2.22353
11.29,2.21721
11.3,2.22693
11.31,2.17979
11.32,2.14486
11.33,2.13082
11.34,2.1733
11.35,2.23213
11.36,2.18227
11.37,2.16873
11.38,2.1639
11.39,2.16446
11.4,2.16115
11.41,2.21239
11.42,2.27976
11.43,2.20949
11.44,2.27695
11.45,2.19282
11.46,2.22103
11.47,2.21807
11.48,2.20106
11.49,2.22913
11.5,2.21078
11.51,2.0816
11.52,2.09941
11.53,2.08655
11.54,2.08396
11.55,2.09727
11.56,2.08288
11.57,2.03587
11.58,2.04296
11.59,2.05993
11.6,2.08089
11.61,2.09111
11.62,2.13752
11.63,2.09858
11.64,2.0513
11.65,2.08647
11.66,2.08738
11.67,2.0918
11.68,2.17419
11.69,2.15233
11.7,2.21978
11.71,2.16567
11.72,2.15013
11.73,2.14627
11.74,2.16826
11.75,2.16543
11.76,2.21821
11.77,2.22063
11.78,2.21658
11.79,2.17859
11.8,2.10783
11.81,2.17321
11.82,2.2584
11.83,2.2324
11.84,2.20903
11.85,2.16067
11.86,2.20291
11.87,2.19319
11.88,2.22756
11.89,2.21333
11.9,2.1572
11.91,2.08105
11.92,2.11481
11.93,2.09173
11.94,2.05081
11.95,2.11353
11.96,2.16366
11.97,2.17286
11.98,2.16796
11.99,2.15759
12,2.18829
12.01,2.11235
12.02,2.11884
12.03,2.16468
12.04,2.08518
12.05,2.18629
12.06,2.19273
12.07,2.20316
12.08,2.16973
12.09,2.22796
12.1,2.20823
12.11,2.19374
12.12,2.17767
12.13,2.14317
12.14,2.19545
12.15,2.15036
12.16,2.1748
12.17,2.17279
12.18,2.0643
12.19,2.11354
12.2,2.10305
12.21,2.15319
12.22,2.17215
12.23,2.15479
12.24,2.15317
12.25,2.20362
12.26,2.13761
12.27,2.09009
12.28,2.11501
12.29,2.21711
12.3,2.16784
12.31,2.12371
12.32,2.0948
12.33,2.15071
12.34,2.11267
12.35,2.1172
12.36,2.0746
12.37,2.08321
12.38,2.13452
12.39,2.19552
12.4,2.18079
12.41,2.13236
12.42,2.15627
12.43,2.0877
12.44,2.08911
12.45,2.16887
12.46,2.11695
12.47,2.15258
12.48,2.15791
12.49,2.05165
12.5,2.11488
12.51,2.09425
12.52,2.07418
12.53,2.07227
12.54,2.07379
12.55,2.11057
12.56,2.12286
12.57,2.05843
12.58,2.111
