Time (ns),970RMSD (Å),239RMSD (Å),Substrate,14475 RMSD (Å)
4.79,2.32526,2.75925,2.03648,1.99856
4.8,2.43544,2.68633,2.16586,1.97739
4.81,2.36312,2.50969,2.03921,1.96843
4.82,2.36425,2.52064,2.07067,1.99999
4.83,2.24886,2.59155,2.23598,1.82362
4.84,2.33116,2.70516,2.13205,1.75174
4.85,2.23371,2.61563,2.03285,1.8304
4.86,2.27628,2.68588,2.10435,1.7166
4.87,2.3264,2.78506,2.05787,1.76279
4.88,2.3018,2.78737,1.977,1.76655
4.89,2.3513,2.88053,1.9706,1.83656
4.9,2.35967,2.68595,2.05089,1.89978
4.91,2.37341,2.6222,1.99571,1.86693
4.92,2.30198,2.56676,1.99606,1.83393
4.93,2.33437,2.66771,1.91916,1.91678
4.94,2.38577,2.64713,1.953,1.9306
4.95,2.41481,2.60822,1.89931,1.99776
4.96,2.45859,2.53338,1.89049,2.04023
4.97,2.3569,2.60924,1.88315,2.00877
4.98,2.38202,2.55844,1.89809,1.93111
4.99,2.36183,2.67195,1.87728,1.97635
5,2.39386,2.64209,1.95579,1.97127
5.01,2.36979,2.83941,1.90316,1.95825
5.02,2.39524,2.73917,1.78823,1.97512
5.03,2.35009,2.78917,1.93514,1.99393
5.04,2.32919,2.6421,1.98515,2.0198
5.05,2.32828,2.69103,1.95639,2.0198
5.06,2.38902,2.68991,1.98694,2.03416
5.07,2.31099,2.65509,1.98819,2.02683
5.08,2.34476,2.7429,1.98133,2.00801
5.09,2.3045,2.78909,1.90796,2.02267
5.1,2.31175,2.79836,1.95658,2.03057
5.11,2.34301,2.76209,1.90176,1.94837
5.12,2.24426,2.75654,1.89513,2.00178
5.13,2.20382,2.83397,1.82312,2.01986
5.14,2.2506,2.81992,1.84888,1.96116
5.15,2.27192,2.77214,1.85544,2.07075
5.16,2.25077,2.71324,1.83275,1.99111
5.17,2.33437,2.68161,1.92088,1.95095
5.18,2.33513,2.64781,1.79083,1.95228
5.19,2.32151,2.63255,1.79472,1.99246
5.2,2.32381,2.64812,1.96869,2.02211
5.21,2.23151,2.58436,1.83754,2.03536
5.22,2.28298,2.62389,1.779,1.99276
5.23,2.30461,2.70182,1.94453,1.97206
5.24,2.24366,2.63242,1.78226,1.92796
5.25,2.24639,2.56994,1.90672,1.98243
5.26,2.20963,2.51771,1.93532,1.92474
5.27,2.17467,2.54113,1.87946,1.90088
5.28,2.2127,2.5482,1.79219,1.99125
5.29,2.25784,2.48416,1.84885,2.01464
5.3,2.32174,2.52585,1.80708,1.96366
5.31,2.27742,2.42998,1.79413,1.98385
5.32,2.30654,2.41339,1.77022,1.98138
5.33,2.26923,2.54704,1.79313,1.93173
5.34,2.26173,2.4501,1.83082,1.95122
5.35,2.18324,2.61776,1.83135,1.90961
5.36,2.21608,2.64191,1.84509,1.94737
5.37,2.18933,2.54828,1.75105,1.95656
5.38,2.26653,2.56704,1.81781,1.86567
5.39,2.28395,2.47633,1.80051,1.78961
5.4,2.24939,2.44622,1.78906,1.90661
5.41,2.22703,2.52114,1.82076,1.92354
5.42,2.18951,2.36659,1.73174,1.92982
5.43,2.29132,2.39829,1.83177,1.95361
5.44,2.1933,2.47142,1.82544,1.8824
5.45,2.09028,2.45936,1.71295,1.9314
5.46,2.1508,2.43044,1.73082,1.93746
5.47,2.2289,2.43416,1.71078,2.00272
5.48,2.17911,2.51834,1.7477,1.9759
5.49,2.17966,2.59464,1.66228,1.92335
5.5,2.27359,2.64512,1.63085,1.81986
5.51,2.18019,2.71865,1.56732,1.7831
5.52,2.16257,2.77823,1.66639,1.76224
5.53,2.12415,2.76489,1.60886,1.81468
5.54,2.1834,2.8795,1.56335,1.85916
5.55,2.22629,2.93533,1.54655,1.75723
5.56,2.22579,2.79904,1.47757,1.92926
5.57,2.28208,2.80034,1.58629,1.82921
5.58,2.21446,2.75873,1.56034,1.84784
5.59,2.32042,2.85419,1.54456,1.84771
5.6,2.30459,2.73249,1.55288,1.8144
5.61,2.29571,2.76493,1.531,1.7309
5.62,2.26475,2.72717,1.63918,1.78129
5.63,2.25718,2.75264,1.62793,1.88274
5.64,2.23524,2.94525,1.70479,1.83205
5.65,2.20612,2.92372,1.63954,1.80617
5.66,2.26835,3.00199,1.66987,1.76687
5.67,2.25741,3.03024,1.71024,1.85359
5.68,2.21528,3.06773,1.64803,1.88927
5.69,2.19369,2.98629,1.72683,1.89405
5.7,2.21684,3.00657,1.72879,1.90954
5.71,2.24366,3.00225,1.83012,1.91237
5.72,2.2672,3.17877,1.76479,1.86714
5.73,2.31521,3.24782,1.72829,2.02802
5.74,2.37913,3.20162,1.79795,1.9399
5.75,2.35549,3.34766,1.71519,1.90369
5.76,2.34855,3.25562,1.66828,1.81389
