"Time (ns)","RMSD (Å)"
8.18,2.26832
8.19,2.29308
8.2,2.30451
8.21,2.40128
8.22,2.27419
8.23,2.26405
8.24,2.25018
8.25,2.21256
8.26,2.19183
8.27,2.18471
8.28,2.15577
8.29,2.16045
8.3,2.12665
8.31,2.11849
8.32,2.22686
8.33,2.14112
8.34,2.17072
8.35,2.17838
8.36,2.27491
8.37,2.26168
8.38,2.28933
8.39,2.27187
8.4,2.25383
8.41,2.30409
8.42,2.24084
8.43,2.24046
8.44,2.23349
8.45,2.25702
8.46,2.26047
8.47,2.28973
8.48,2.29171
8.49,2.25931
8.5,2.26847
8.51,2.20014
8.52,2.28536
8.53,2.35513
8.54,2.2603
8.55,2.26585
8.56,2.24464
8.57,2.28955
8.58,2.3222
8.59,2.34162
8.6,2.25326
8.61,2.30404
8.62,2.29825
8.63,2.15225
8.64,2.20598
8.65,2.20608
8.66,2.20928
8.67,2.2438
8.68,2.2342
8.69,2.20886
8.7,2.22798
8.71,2.15869
8.72,2.18325
8.73,2.23963
8.74,2.35388
8.75,2.36234
8.76,2.25904
8.77,2.29143
8.78,2.25356
8.79,2.26171
8.8,2.33795
8.81,2.33826
8.82,2.24688
8.83,2.22258
8.84,2.37809
8.85,2.36971
8.86,2.29641
8.87,2.29433
8.88,2.1911
8.89,2.30881
8.9,2.3569
8.91,2.21078
8.92,2.22397
8.93,2.17925
8.94,2.13558
8.95,2.15885
8.96,2.24124
8.97,2.14726
8.98,2.12701
8.99,2.14259
9,2.17065
9.01,2.18774
9.02,2.1204
9.03,2.12598
9.04,2.20309
9.05,2.21671
9.06,2.24257
9.07,2.20638
9.08,2.13581
9.09,2.14384
9.1,2.1347
9.11,2.06061
9.12,2.02687
9.13,2.10035
9.14,2.14171
9.15,2.09936
9.16,2.06862
9.17,2.10577
9.18,2.10846
9.19,2.12356
9.2,2.19995
9.21,2.18975
9.22,2.21149
9.23,2.1995
9.24,2.16386
9.25,2.16702
9.26,2.18817
9.27,2.20278
9.28,2.2153
9.29,2.20446
9.3,2.22705
9.31,2.18003
9.32,2.31164
9.33,2.29046
9.34,2.42544
9.35,2.42988
9.36,2.42434
9.37,2.39836
9.38,2.39329
9.39,2.34971
9.4,2.30943
9.41,2.34691
9.42,2.35529
9.43,2.30635
9.44,2.30351
9.45,2.33905
9.46,2.28108
9.47,2.30971
9.48,2.28214
9.49,2.32603
9.5,2.32814
9.51,2.27642
9.52,2.26438
9.53,2.33067
9.54,2.34446
9.55,2.26949
9.56,2.30358
9.57,2.26971
9.58,2.25118
9.59,2.24179
9.6,2.43125
9.61,2.46212
9.62,2.30418
9.63,2.3388
9.64,2.40573
9.65,2.31686
9.66,2.40766
9.67,2.35202
9.68,2.40914
9.69,2.35992
9.7,2.29689
9.71,2.391
9.72,2.37791
9.73,2.35952
9.74,2.26401
9.75,2.28845
9.76,2.3096
9.77,2.29485
9.78,2.27264
9.79,2.26164
9.8,2.39801
9.81,2.41998
9.82,2.41839
9.83,2.35052
9.84,2.45905
9.85,2.41317
9.86,2.39885
9.87,2.33526
9.88,2.37473
9.89,2.3375
9.9,2.36507
9.91,2.36951
9.92,2.40976
9.93,2.39932
9.94,2.46107
9.95,2.37207
9.96,2.39823
9.97,2.3932
9.98,2.33285
9.99,2.40347
10,2.3816
10.01,2.30223
10.02,2.35191
10.03,2.3704
10.04,2.39346
10.05,2.30959
10.06,2.2969
10.07,2.42673
10.08,2.33785
10.09,2.37721
10.1,2.34522
10.11,2.35918
10.12,2.38362
10.13,2.32513
10.14,2.40963
10.15,2.38078
10.16,2.33517
10.17,2.29703
10.18,2.39105
10.19,2.38433
10.2,2.43083
