"Time (ns)","RMSD (Å)"
11.21,2.33268
11.22,2.34667
11.23,2.27467
11.24,2.31466
11.25,2.29614
11.26,2.38276
11.27,2.3949
11.28,2.44704
11.29,2.31795
11.3,2.32944
11.31,2.36509
11.32,2.35703
11.33,2.37624
11.34,2.27908
11.35,2.2428
11.36,2.29639
11.37,2.29463
11.38,2.36883
11.39,2.35275
11.4,2.23314
11.41,2.27718
11.42,2.27698
11.43,2.27911
11.44,2.29475
11.45,2.29634
11.46,2.37619
11.47,2.32379
11.48,2.33378
11.49,2.31135
11.5,2.19802
11.51,2.23442
11.52,2.25648
11.53,2.24489
11.54,2.32548
11.55,2.27154
11.56,2.25535
11.57,2.35134
11.58,2.26281
11.59,2.37175
11.6,2.36355
11.61,2.40725
11.62,2.44483
11.63,2.46735
11.64,2.51251
11.65,2.46369
11.66,2.47489
11.67,2.42217
11.68,2.38622
11.69,2.39696
11.7,2.36209
11.71,2.39208
11.72,2.41321
11.73,2.38173
11.74,2.33688
11.75,2.31277
11.76,2.38916
11.77,2.45787
11.78,2.35558
11.79,2.36736
11.8,2.40741
11.81,2.30619
11.82,2.38526
11.83,2.38286
11.84,2.41295
11.85,2.39628
11.86,2.30093
11.87,2.295
11.88,2.3145
11.89,2.27241
11.9,2.36175
11.91,2.36871
11.92,2.28518
11.93,2.29284
11.94,2.31114
11.95,2.32678
11.96,2.3965
11.97,2.32636
11.98,2.2838
11.99,2.25266
12,2.29579
12.01,2.24584
12.02,2.23654
12.03,2.3501
12.04,2.27923
12.05,2.33937
12.06,2.32784
12.07,2.31047
12.08,2.36081
12.09,2.36322
12.1,2.35651
12.11,2.30799
12.12,2.42746
12.13,2.35159
12.14,2.37764
12.15,2.47574
12.16,2.37193
12.17,2.36887
12.18,2.3927
12.19,2.40646
12.2,2.41291
12.21,2.39865
12.22,2.3553
12.23,2.39853
12.24,2.44976
12.25,2.40508
12.26,2.47086
12.27,2.46856
12.28,2.44844
12.29,2.50203
12.3,2.53617
12.31,2.5548
12.32,2.53782
12.33,2.43543
12.34,2.42863
12.35,2.41016
12.36,2.43457
12.37,2.35304
12.38,2.43519
12.39,2.43548
12.4,2.41555
12.41,2.52553
12.42,2.52306
12.43,2.35876
12.44,2.3701
12.45,2.4259
12.46,2.37971
12.47,2.32168
12.48,2.43197
12.49,2.32089
12.5,2.36459
12.51,2.32094
12.52,2.34569
12.53,2.43598
12.54,2.42547
12.55,2.49643
12.56,2.36577
12.57,2.38148
12.58,2.41448
12.59,2.46329
12.6,2.52449
12.61,2.43984
12.62,2.44328
12.63,2.44411
12.64,2.46767
12.65,2.44589
12.66,2.40023
12.67,2.42083
12.68,2.45138
12.69,2.39641
12.7,2.52251
12.71,2.47581
12.72,2.43156
12.73,2.47478
12.74,2.53242
12.75,2.52746
12.76,2.53608
12.77,2.54815
12.78,2.48344
12.79,2.42822
12.8,2.46484
12.81,2.48035
12.82,2.49923
12.83,2.46182
12.84,2.42168
12.85,2.32156
12.86,2.39596
12.87,2.40355
12.88,2.4253
12.89,2.36546
12.9,2.42326
12.91,2.39391
12.92,2.4489
12.93,2.40867
12.94,2.40411
12.95,2.44956
12.96,2.3715
12.97,2.44464
12.98,2.45701
12.99,2.42114
13,2.43417
13.01,2.50292
13.02,2.4486
13.03,2.42843
13.04,2.3055
13.05,2.39366
13.06,2.44903
13.07,2.5021
13.08,2.40437
13.09,2.35857
13.1,2.35811
13.11,2.37736
13.12,2.34672
13.13,2.40139
13.14,2.28986
13.15,2.34426
13.16,2.32957
13.17,2.34211
13.18,2.42349
13.19,2.42841
13.2,2.3222
13.21,2.38134
13.22,2.42911
13.23,2.46266
13.24,2.39778
13.25,2.38282
13.26,2.38067
13.27,2.33488
13.28,2.32506
13.29,2.36416
13.3,2.36589
13.31,2.31762
13.32,2.30442
13.33,2.2755
13.34,2.33573
13.35,2.27575
13.36,2.36198
13.37,2.29554
13.38,2.28319
13.39,2.30124
13.4,2.31678
13.41,2.24246
13.42,2.23912
13.43,2.3378
13.44,2.32774
13.45,2.23252
13.46,2.19686
13.47,2.31873
13.48,2.41745
13.49,2.28315
13.5,2.40673
13.51,2.40338
13.52,2.3969
13.53,2.3177
13.54,2.31771
13.55,2.29752
13.56,2.35398
13.57,2.34804
13.58,2.24822
13.59,2.28835
13.6,2.18455
13.61,2.2867
13.62,2.35472
13.63,2.37006
13.64,2.41325
13.65,2.37798
13.66,2.2862
13.67,2.33367
13.68,2.32967
13.69,2.37909
13.7,2.433
13.71,2.40754
13.72,2.35707
13.73,2.43973
13.74,2.43726
13.75,2.44391
13.76,2.41896
13.77,2.43778
13.78,2.42629
13.79,2.41367
13.8,2.43036
13.81,2.44335
13.82,2.43382
13.83,2.42598
13.84,2.45111
13.85,2.4014
13.86,2.37642
13.87,2.4365
13.88,2.32842
13.89,2.34266
13.9,2.30063
13.91,2.3744
13.92,2.42701
13.93,2.39167
13.94,2.31308
13.95,2.37853
13.96,2.24768
13.97,2.3046
13.98,2.37155
13.99,2.37338
14,2.36771
14.01,2.34537
14.02,2.26401
14.03,2.33732
14.04,2.338
14.05,2.29401
14.06,2.30008
14.07,2.34101
14.08,2.30435
14.09,2.3299
14.1,2.23385
14.11,2.3082
14.12,2.3289
14.13,2.33328
14.14,2.41246
14.15,2.40027
14.16,2.53604
14.17,2.51181
14.18,2.4218
14.19,2.47097
14.2,2.56393
14.21,2.50802
14.22,2.56708
14.23,2.56931
14.24,2.58024
14.25,2.41895
14.26,2.47002
14.27,2.39972
14.28,2.57053
14.29,2.57467
14.3,2.42555
14.31,2.45622
14.32,2.45171
14.33,2.43347
14.34,2.43666
14.35,2.4624
14.36,2.38322
14.37,2.53216
14.38,2.4655
14.39,2.53168
14.4,2.35634
14.41,2.3876
14.42,2.20855
14.43,2.29435
14.44,2.35404
14.45,2.3726
14.46,2.2791
14.47,2.27141
14.48,2.30562
14.49,2.43483
14.5,2.48672
14.51,2.44377
14.52,2.39177
14.53,2.35815
14.54,2.31908
14.55,2.32051
14.56,2.27373
14.57,2.33983
14.58,2.29865
14.59,2.31667
14.6,2.34649
14.61,2.27246
14.62,2.40776
14.63,2.27591
14.64,2.29506
14.65,2.37968
14.66,2.34828
14.67,2.33443
14.68,2.35769
14.69,2.41812
14.7,2.31004
14.71,2.36928
14.72,2.39489
14.73,2.39269
14.74,2.35464
14.75,2.39261
14.76,2.29051
14.77,2.41613
14.78,2.36619
14.79,2.33164
14.8,2.34434
14.81,2.31548
14.82,2.34313
14.83,2.2819
14.84,2.3331
14.85,2.32406
14.86,2.30294
14.87,2.27842
14.88,2.20309
14.89,2.32561
14.9,2.2501
14.91,2.28002
14.92,2.32764
14.93,2.36427
14.94,2.30876
14.95,2.29521
14.96,2.19191
14.97,2.18074
14.98,2.24157
14.99,2.1923
15,2.22784
15.01,2.11535
15.02,2.06659
15.03,2.12325
15.04,2.21142
15.05,2.18603
15.06,2.13995
